ALA 144.3
ARG 274.9
ASN 155.1
ASP 148.7
CYS 144.9
GLN 208.0
GLU 201.4
GLY 121.2
HIS 182.4
ILE 170.6
LEU 157.1
LYS 229.7
MET 228.7
PHE 171.3
PRO 165.4
SER 145.2
THR 152.6
TRP 196.1
TYR 205.5
VAL 152.9

